fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-01-31,USD,66301000000,21889000000,6195000000,6195000000,1146000000.0,7786000000,44412000000,5663000000.0,,4114000000,4114000000,26318000000,,3909000000,5771000000,2137000000,,24808000000,17728000000,4355000000.0,,,766000000,7080000000,3608000000,2673000000,,,6281000000,1735000000,1565000000,41493000000,,5933000000,1000000,939000000
2021-04-30,USD,64885000000,20444000000,8544000000,8544000000,1166000000.0,3174000000,44441000000,2490000000.0,,3925000000,3925000000,26640000000,,3944000000,6479000000,1081000000,,22318000000,15323000000,3439000000.0,,,726000000,6995000000,3460000000,2672000000,,,6132000000,11884000000,4323000000,42567000000,,6402000000,1000000,940000000
2021-07-31,USD,88658000000,16256000000,6299000000,6299000000,1211000000.0,4074000000,72402000000,5834000000.0,,9746000000,9746000000,48103000000,,4105000000,3351000000,2532000000,,33138000000,17393000000,4274000000.0,,,2052000000,15745000000,3591000000,10589000000,1339000000.0,,15519000000,36000000,2278000000,55520000000,,6937000000,1000000,950000000
2021-10-31,USD,87436000000,15957000000,4753000000,4753000000,1242000000.0,4019000000,71479000000,5677000000.0,,9472000000,9472000000,47951000000,,4004000000,4638000000,2547000000,,30382000000,15035000000,4187000000.0,,,688000000,15347000000,3410000000,10591000000,,,14001000000,4231000000,2034000000,57054000000,,7405000000,1000000,1001000000
2022-01-31,USD,95209000000,22850000000,5464000000,5464000000,1454000000.0,9739000000,72359000000,2815000000.0,,8978000000,8978000000,47937000000,,4784000000,5073000000,2574000000,,37078000000,21788000000,5474000000.0,,,686000000,15290000000,3389000000,10592000000,,,13981000000,5474000000,1995000000,58131000000,,7377000000,1000000,986000000
2022-04-30,USD,93022000000,20411000000,6859000000,6859000000,1478000000.0,3952000000,72611000000,2868000000.0,,8559000000,8559000000,48319000000,,4936000000,6644000000,2956000000,,34146000000,19899000000,4603000000.0,,,1660000000,14247000000,3388000000,9595000000,1002000000.0,,13985000000,13636000000,1922000000,58876000000,,7405000000,1000000,1001000000
2022-07-31,USD,94148000000,21246000000,6931000000,6931000000,1531000000.0,4745000000,72902000000,3375000000.0,,8072000000,8072000000,48568000000,,5124000000,6602000000,2968000000,,34050000000,20080000000,5446000000.0,,,1809000000,13970000000,3206000000,9416000000,1183000000.0,,13805000000,5446000000,1974000000,60098000000,,7473000000,1000000,1001000000
2022-10-31,USD,91884000000,19209000000,6076000000,6076000000,1549000000.0,4275000000,72675000000,3514000000.0,,7598000000,7598000000,48555000000,,5124000000,5842000000,3016000000,,32533000000,18227000000,5285000000.0,,,1749000000,14306000000,3398000000,9418000000,1182000000.0,,13998000000,5285000000,2057000000,59351000000,,7683000000,1000000,1000000000
2023-01-31,USD,98849000000,26395000000,7016000000,7016000000,1776000000.0,10755000000,72454000000,6592000000.0,,7125000000,7125000000,48568000000,,4672000000,5492000000,3132000000,,40490000000,25891000000,3886000000.0,,,1772000000,14599000000,3487000000,9419000000,1182000000.0,,14088000000,6743000000,2283000000,58359000000,,7585000000,1000000,984000000
2023-04-30,USD,93541000000,21981000000,9155000000,9155000000,1772000000.0,4632000000,71560000000,6341000000.0,,6654000000,6654000000,48567000000,,4633000000,4822000000,3372000000,,36129000000,21626000000,3515000000.0,,,772000000,14503000000,3471000000,9421000000,181000000.0,,13073000000,5733000000,2202000000,57412000000,,7784000000,1000000,988000000
