fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2021-01-31,USD,2174000000,,,,,869000000,149000000,-4429000000.0,-213000000.0,,94000000,176000000,,,,,,,,,,,1321000000,,2444000000.0,,267000000
2021-04-30,USD,3228000000,,,,,685000000,171000000,4616000000.0,-233000000.0,,-1047000000,165000000,,,,,,,,,,,225000000,,2346000000.0,,469000000
2021-07-31,USD,386000000,,,,,719000000,213000000,-812000000.0,-373000000.0,,-11054000000,8440000000,,,,,,,,,,,375000000,,-2228000000.0,,535000000
2021-10-31,USD,404000000,,,,,963000000,166000000,91000000.0,-2000000.0,,-976000000,-970000000,,,,,,,,,,,430000000,,-1542000000.0,,468000000
2022-01-31,USD,1982000000,,,,,931000000,167000000,-5719000000.0,-79000000.0,,-1459000000,203000000,,,,,,,,,,,1289000000,,726000000.0,,-28000000
2022-04-30,USD,3676000000,,,,,906000000,179000000,5805000000.0,,,-2457000000,201000000,,,,,,,,,,,274000000,,1420000000.0,,28000000
2022-07-31,USD,334000000,,,,,907000000,203000000,-790000000.0,,,-377000000,136000000,,,,,,,,,,,181000000,,93000000.0,,68000000
2022-10-31,USD,313000000,,,,,941000000,198000000,471000000.0,,,533000000,-1678000000,,,,,233000000.0,233000000.0,,,,,-1677000000,,-832000000.0,,210000000
2023-01-31,USD,2788000000,,,,,1032000000,218000000,-6481000000.0,,,312000000,-2221000000,,,,,173000000.0,173000000.0,,,,,-2323000000,,879000000.0,,-98000000
2023-04-30,USD,4491000000,,,,,1254000000,243000000,6123000000.0,,,347000000,-2716000000,,,,,449000000.0,449000000.0,,,,,-2054000000,,2122000000.0,,199000000
2023-07-31,USD,808000000,,,,,890000000,180000000,,-219000000.0,,-1152000000,-2050000000,,,,,362000000.0,362000000.0,,,,,-1949000000,,,,1267000000
2023-10-31,USD,1532000000,,,,,862000000,166000000,,-546000000.0,,-54000000,-1765000000,,,,,274000000.0,274000000.0,,,,,-1925000000,,,,1224000000
2024-01-31,USD,3403000000,,,,,953000000,147000000,,765000000.0,,-468000000,-946000000,,,,,869000000.0,869000000.0,,,,,-1692000000,,,,1446000000
2024-04-30,USD,6247000000,,,,,879000000,163000000,,,,-2651000000,-2108000000,,,,,388000000.0,388000000.0,,,,,-2133000000,,,,1533000000
2024-07-31,USD,892000000,,,,,907000000,137000000,,,,2641000000,-5802000000,,,,,384000000.0,384000000.0,,,,,-4335000000,,,,1429000000
2024-10-31,USD,1983000000,,,,,814000000,204000000,,,,-217000000,-1446000000,,,,,382000000.0,382000000.0,,,,,-1285000000,,,,1527000000
2025-01-31,USD,3970000000,,,,,877000000,154000000,,,,-2936000000,-73000000,,,,,383000000.0,383000000.0,,,,,-76000000,,,,1708000000
2025-04-30,USD,6476000000,,,,,843000000,179000000,,,,-1567000000,-2920000000,,,,,402000000.0,402000000.0,,,,,-2633000000,,,,1541000000
2025-07-31,USD,740000000,,,,,817000000,135000000,,,,1165000000,-2503000000,,,,,399000000.0,399000000.0,,,,,-2225000000,,,,1887000000
2025-10-31,USD,2316000000,,,,,851000000,139000000,,,,519000000,-4244000000,,,,,395000000.0,395000000.0,,,,,-3801000000,,,,2086000000
