fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-03-31,USD,327095000000,172137000000,26622000000,26622000000,888000000.0,28499000000,154958000000,100204000000.0,,1823000000.0,1823000000.0,22341000000,,25294000000,108482000000,7646000000,,97082000000,55453000000,4801000000,,,1888000000,41629000000,13270000000,13887000000,,,27157000000,44181000000,23336000000,230013000000,,170580000000,59436000000,13641413861
2021-06-30,USD,335387000000,175697000000,23630000000,23630000000,907000000.0,32851000000,159690000000,104675000000.0,,1626000000.0,1626000000.0,22406000000,,25532000000,112233000000,6076000000,,97822000000,55741000000,4708000000,,,2037000000,42081000000,11619000000,14328000000,,,27984000000,44470000000,2270000000,237565000000,,176939000000,60436000000,13592234000
2021-09-30,USD,347403000000,184110000000,23719000000,23719000000,1278000000.0,34800000000,163293000000,107549000000.0,,1549000000.0,1549000000.0,22623000000,,26101000000,118284000000,6029000000,,102836000000,61782000000,4616000000,,,2101000000,41054000000,11471000000,14288000000,,,27860000000,47927000000,2250000000,244567000000,,183782000000,61193000000,13530373911
2021-12-31,USD,359268000000,188143000000,20945000000,20945000000,1170000000.0,39304000000,171125000000,97599000000.0,,1417000000.0,1417000000.0,22956000000,,29549000000,118704000000,8020000000,,107633000000,64254000000,6037000000,,,2189000000,43379000000,11389000000,14817000000,,,28395000000,51932000000,23305000000,251635000000,,191484000000,61774000000,13449853947
2022-03-31,USD,357096000000,177853000000,20886000000,20886000000,1369000000.0,35622000000,179243000000,117210000000.0,,1313000000.0,1313000000.0,23010000000,,30544000000,113084000000,6892000000,,103092000000,61948000000,3436000000,,,2267000000,41144000000,11363000000,14791000000,,,28421000000,48703000000,23510000000,254004000000,,195221000000,62832000000,13351013992
2022-06-30,USD,355185000000,172371000000,17936000000,17936000000,1980000000.0,37073000000,182814000000,119621000000.0,,1377000000.0,1377000000.0,23949000000,,30665000000,107061000000,8321000000,,99766000000,61354000000,4409000000,,,2297000000,38412000000,15878000000,12850000000,,,28728000000,49420000000,22754000000,255419000000,,196845000000,64402000000,13238994042
2022-09-30,USD,358255000000,166109000000,21984000000,21984000000,3156000000.0,36176000000,192146000000,122040000000.0,,2192000000.0,2192000000.0,28834000000,,30419000000,94275000000,10518000000,,104629000000,65979000000,6303000000,,,2285000000,38650000000,11984000000,14653000000,,,28922000000,52781000000,2371000000,253626000000,,196220000000,66258000000,13097000000
2022-12-31,USD,365264000000,164795000000,21879000000,21879000000,2670000000.0,40258000000,200469000000,112668000000.0,,2084000000.0,2084000000.0,28960000000,,30492000000,91883000000,8105000000,,109120000000,69300000000,5128000000,,,2477000000,39820000000,16822000000,12857000000,,,29679000000,48529000000,24605000000,256144000000,,195563000000,68184000000,12947000000
2023-03-31,USD,369491000000,161985000000,25924000000,25924000000,2315000000.0,36036000000,207506000000,132007000000.0,,1968000000.0,1968000000.0,28994000000,,31213000000,89178000000,8532000000,,108597000000,68854000000,4184000000,,,2625000000,39743000000,12799000000,13697000000,,,29121000000,53113000000,2373000000,260894000000,,196625000000,70269000000,12823000000
2023-06-30,USD,383044000000,168788000000,25929000000,25929000000,2231000000.0,38804000000,214256000000,135677000000.0,,1966000000.0,1966000000.0,29210000000,,31224000000,92403000000,9421000000,,115903000000,77709000000,5313000000,,,2663000000,38194000000,12746000000,13705000000,,,26451000000,68550000000,1765000000,267141000000,,200884000000,72248000000,12609000000
2023-09-30,USD,396711000000,176310000000,30702000000,30702000000,2957000000.0,41020000000,220401000000,139904000000.0,,1833000000.0,1833000000.0,29146000000,,30907000000,89233000000,12398000000,,123509000000,86295000000,5803000000,,,2715000000,37214000000,12550000000,13781000000,,,29046000000,65436000000,1433000000,273202000000,,205647000000,74591000000,12696000000
2023-12-31,USD,402392000000,171530000000,24048000000,24048000000,,47964000000,230862000000,,,,,29198000000,,31008000000,86868000000,12650000000,,119013000000,81814000000,7493000000,,,2791000000,37199000000,16634000000,11870000000,,,27121000000,64645000000,1616000000,283379000000,,211247000000,76534000000,12602000000
2024-03-31,USD,407350000000,165471000000,24493000000,24493000000,,44552000000,241879000000,,,,,29183000000,,33994000000,83597000000,12829000000,,114506000000,76997000000,6198000000,,,2874000000,37509000000,16186000000,11873000000,,,28059000000,59026000000,1683000000,292844000000,,219770000000,77913000000,12527000000
2024-06-30,USD,414770000000,161995000000,27225000000,27225000000,,47087000000,252775000000,,,,,29185000000,,34172000000,73500000000,14183000000,,114017000000,77913000000,6092000000,,,2855000000,36104000000,15925000000,11876000000,,,27801000000,61418000000,1753000000,300753000000,,226033000000,79732000000,12495000000
2024-09-30,USD,430266000000,157541000000,19959000000,19959000000,,49104000000,272725000000,174831000000.0,,,,31935000000,,36177000000,73271000000,15207000000,,116147000000,80803000000,7049000000,,,2971000000,35344000000,16042000000,10880000000,,,26922000000,63248000000,1453000000,314119000000,,235317000000,82030000000,12419000000
2024-12-31,USD,450256000000,163711000000,23466000000,23466000000,,52340000000,286545000000,184624000000.0,,,,31885000000,,37982000000,72191000000,15714000000,,125172000000,89122000000,7987000000,,,2887000000,36050000000,14578000000,10883000000,,,25461000000,64430000000,4694000000,325084000000,,245084000000,84800000000,12348000000
2025-03-31,USD,475374000000,162052000000,23264000000,23264000000,,51000000000,313322000000,198784000000.0,,,,32173000000,,51029000000,72064000000,15724000000,,130107000000,91654000000,8497000000,,,1000000000,38453000000,11678000000,10886000000,1000000000.0,,23564000000,67476000000,6116000000,345267000000,,262628000000,86725000000,12291000000
2025-06-30,USD,502053000000,166216000000,21036000000,21036000000,,55048000000,335837000000,217486000000.0,,,,32335000000,,52574000000,74112000000,16020000000,,139137000000,87310000000,8347000000,,,4107000000,51827000000,11952000000,23607000000,,,41668000000,69101000000,6241000000,362916000000,,275760000000,12104000000,12198000000
2025-09-30,USD,536469000000,173947000000,23090000000,23090000000,,57148000000,362522000000,238311000000.0,,,,33269000000,,63800000000,75406000000,18303000000,,149602000000,99550000000,10546000000,,,0,50052000000,12106000000,21607000000,,,33713000000,73390000000,6267000000,386867000000,,297226000000,12077000,12203000000
