fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2021-03-31,USD,12242000000,,,,,1972000000,4272000000,849000000.0,-2014000000.0,,-4874000000,-5185000000,,,,,,,,,,,-3939000000,,2183000000.0,,9497000000
2021-06-30,USD,13246000000,,,,,1985000000,4612000000,-1366000000.0,-642000000.0,,-8195000000,-8548000000,,,,,,,,,,,-7079000000,,-3497000000.0,,10394000000
2021-09-30,USD,14091000000,,,,,1995000000,4313000000,-555000000.0,1165000000.0,,-330000000,-15253000000,,,,,,,,,,,-13458000000,,-1492000000.0,,9194000000
2021-12-31,USD,18104000000,,,,,2014000000,5370000000,-2038000000.0,3679000000.0,,5829000000,-21742000000,,,,,,,,,,,-20061000000,,2191000000.0,,10285000000
2022-03-31,USD,14076000000,,,,,2156000000,5441000000,2557000000.0,1118000000.0,,-4779000000,-10660000000,,,,,,,,,,,-9506000000,,-1363000000.0,,7465000000
2022-06-30,USD,12197000000,,,,,1979000000,7572000000,-522000000.0,705000000.0,,-6959000000,-6563000000,,,,,,,,,,,-5233000000,,-1326000000.0,,6687000000
2022-09-30,USD,9691000000,,,,,2175000000,9375000000,-105000000.0,701000000.0,,-9701000000,2147000000,,,,,,,,,,,-6354000000,,2138000000.0,,4395000000
2022-12-31,USD,14511000000,,,,,2376000000,9043000000,-1699000000.0,,,-7531000000,-7059000000,,,,,,,,,,,-6863000000,,-80000000.0,,4652000000
2023-03-31,USD,13998000000,,,,,2524000000,6842000000,2546000000.0,,,-6743000000,-10516000000,,,,,0.0,0.0,,,,,-9365000000,,-3261000000.0,,5709000000
2023-06-30,USD,17309000000,,,,,2623000000,6216000000,-1424000000.0,,,-5203000000,5292000000,,,,,,,,,,,-898000000,,17398000000.0,,7788000000
2023-09-30,USD,20402000000,,,,,2859000000,6543000000,,,,-6077000000,-5875000000,,,,,0.0,0.0,,,,,-3569000000,,,,11583000000
2023-12-31,USD,19404000000,,,,,3172000000,7665000000,,-1270000000.0,,-6472000000,-8401000000,,,,,,,,,,,-5942000000,,,,14017000000
2024-03-31,USD,19246000000,,,,,3374000000,6400000000,,,,-8734000000,-19767000000,,,,,1273000000.0,1273000000.0,,,,,-15008000000,,,,12369000000
2024-06-30,USD,19370000000,,,,,3637000000,8173000000,,,,-8298000000,-11178000000,,,,,1266000000.0,1266000000.0,,,,,-6299000000,,,,13465000000
2024-09-30,USD,24724000000,,,,,4027000000,8258000000,,,,-8620000000,-4371000000,,,,,1263000000.0,1263000000.0,,,,,-8818000000,,,,15688000000
2024-12-31,USD,27988000000,,,,,4460000000,14425000000,,,,-21498000000,-5465000000,,,,,1270000000.0,1270000000.0,,,,,-3857000000,,,,20838000000
2025-03-31,USD,24026000000,,,,,3900000000,12941000000,,,,-20010000000,-19495000000,,,,,1329000000.0,1329000000.0,,,,,-12754000000,,,,16644000000
2025-06-30,USD,25561000000,,,,,4342000000,16538000000,,,,-25958000000,-15977000000,,,,,1327000000.0,1327000000.0,,,,,-10167000000,,,,18337000000
2025-09-30,USD,29999000000,,,,,4963000000,18829000000,,,,-21848000000,-10047000000,,,,,1330000000.0,1330000000.0,,,,,-3327000000,,,,2709000000
