fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2021-03-31,USD,19289000000,,,,,2753000000,5942000000,2794000000.0,-3967000000.0,,-5383000000,-13606000000,,,,,,,,,,,-11395000000,,300000000.0,,17930000000
2021-06-30,USD,21890000000,,,,,2945000000,5496000000,-3661000000.0,4005000000.0,,-9074000000,-15991000000,,,,,,,,,,,-12796000000,,-3175000000.0,,18525000000
2021-09-30,USD,25539000000,,,,,3304000000,6819000000,-2409000000.0,1664000000.0,,-10050000000,-15254000000,,,,,,,,,,,-12610000000,,235000000.0,,18936000000
2021-12-31,USD,24934000000,,,,,3439000000,6383000000,-5819000000.0,5438000000.0,,-11016000000,-16511000000,,,,,,,,,,,-13473000000,,-2593000000.0,,20642000000
2022-03-31,USD,25106000000,,,,,3782000000,9786000000,4364000000.0,,,-9051000000,-16214000000,,,,,,,,,,,-13300000000,,-159000000.0,,16436000000
2022-06-30,USD,19422000000,,,,,3899000000,6828000000,-1969000000.0,,,-4187000000,-17817000000,,,,,,,,,,,-15197000000,,-2582000000.0,,16002000000
2022-09-30,USD,23353000000,,,,,4046000000,7276000000,-97000000.0,,,-833000000,-18097000000,,,,,,,,,,,-15392000000,,4423000000.0,,13910000000
2022-12-31,USD,23614000000,,,,,4201000000,7595000000,-4615000000.0,,,-6227000000,-17629000000,,,,,,,,,,,-15407000000,,-242000000.0,,13624000000
2023-03-31,USD,23509000000,,,,,2635000000,6289000000,4454000000.0,,,-2946000000,-16568000000,,,,,,,,,,,-14557000000,,3995000000.0,,15051000000
2023-06-30,USD,28666000000,,,,,3397000000,6888000000,-2948000000.0,130000000.0,,-10800000000,-17835000000,,,,,,,,,,,-14969000000,,31000000.0,,18368000000
2023-09-30,USD,30656000000,,,,,3800000000,8055000000,,2136000000.0,,-7150000000,-18382000000,,,,,0.0,0.0,,,,,-15787000000,,,,19689000000
2023-12-31,USD,18915000000,,,,,1563000000,11019000000,,5854000000.0,,-6167000000,-19308000000,,,,,,,,,,,-16191000000,,,,20687000000
2024-03-31,USD,28848000000,,,,,3413000000,12012000000,,,,-8564000000,-19714000000,,,,,0.0,0.0,,,,,-15696000000,,,,23662000000
2024-06-30,USD,26640000000,,,,,3708000000,13186000000,,,,-2781000000,-20889000000,,,,,2466000000.0,2466000000.0,,,,,-15684000000,,,,23619000000
2024-09-30,USD,30698000000,,,,,3985000000,13061000000,,,,-18011000000,-20094000000,,,,,2455000000.0,2455000000.0,,,,,-15291000000,,,,26301000000
2024-12-31,USD,39113000000,,,,,4205000000,14276000000,,,,-16180000000,-19036000000,,,,,2442000000.0,2442000000.0,,,,,-15551000000,,,,26536000000
2025-03-31,USD,36150000000,,,,,4487000000,17197000000,,,,-16194000000,-20201000000,,,,,2434000000.0,2434000000.0,,,,,-15068000000,,,,34540000000
2025-06-30,USD,27747000000,,,,,4998000000,22446000000,,,,-24544000000,-5832000000,,,,,2543000000.0,2543000000.0,,,,,-13638000000,,,,28196000000
2025-09-30,USD,48414000000,,,,,5611000000,23953000000,,,,-27777000000,-18383000000,,,,,2537000000.0,2537000000.0,,,,,-15291000000,,,,34979000000
