fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-03-31,USD,163523000000,77322000000,19513000000,19513000000,,10276000000,86201000000,57922000000.0,,505000000.0,505000000.0,19056000000,,6342000000,44706000000,2827000000,,29866000000,12717000000,878000000,,,1040000000,17149000000,11614000000,,,,11614000000,10417000000,17149000000,133657000000,,82343000000,51160000000.0,2882000000
2021-06-30,USD,170609000000,80697000000,16186000000,16186000000,,11698000000,89912000000,61434000000.0,,514000000.0,514000000.0,19219000000,,6393000000,47894000000,4919000000,,32382000000,14874000000,973000000,,,1051000000,17508000000,12007000000,,,,12007000000,12459000000,6552000000,138227000000,,85097000000,52845000000.0,2879224000
2021-09-30,USD,169585000000,75421000000,14496000000,14496000000,,12088000000,94164000000,64789000000.0,,365000000.0,365000000.0,19065000000,,6758000000,43579000000,5258000000,,36225000000,17812000000,2195000000,,,1086000000,18413000000,12640000000,,,,12640000000,14067000000,6859000000,133360000000,,79233000000,54334000000.0,2859000000
2021-12-31,USD,165987000000,66666000000,16601000000,16601000000,,14039000000,99321000000,69964000000.0,,634000000.0,634000000.0,19197000000,,6775000000,31397000000,4629000000,,41108000000,21135000000,4083000000,,,1127000000,19973000000,13873000000,,,,13873000000,14108000000,19973000000,124879000000,,69761000000,55811000000.0,2799000000
2022-03-31,USD,164218000000,59265000000,14886000000,14886000000,,11390000000,104953000000,73823000000.0,,910000000.0,910000000.0,19923000000,,6775000000,29004000000,3985000000,,40990000000,21086000000,3246000000,,,1159000000,19904000000,14053000000,,,,14053000000,16161000000,19904000000,123228000000,,67712000000,57512000000.0,2742000000
2022-06-30,USD,169779000000,55987000000,12681000000,12681000000,,11525000000,113792000000,81718000000.0,,965000000.0,965000000.0,20229000000,,6536000000,27808000000,3973000000,,44012000000,22217000000,4008000000,,,1275000000,21795000000,16067000000,,,,16067000000,16402000000,21795000000,125767000000,,69249000000,59929000000.0,2713000000
2022-09-30,USD,178894000000,58315000000,14308000000,14308000000,,11227000000,120579000000,87379000000.0,,875000000.0,875000000.0,20268000000,,6528000000,27468000000,5312000000,,54800000000,22687000000,3871000000,,,1291000000,32113000000,15978000000,9922000000.0,,,25900000000,17011000000,7504000000,124094000000,,67056000000,62092000000.0,2687000000
2022-12-31,USD,185727000000,59549000000,14681000000,14681000000,,13466000000,126178000000,92191000000.0,,897000000.0,897000000.0,20306000000,,6201000000,26057000000,5345000000,,60014000000,27026000000,4990000000,,,1367000000,32988000000,16668000000,9923000000.0,,,26591000000,2567000000,15301000000,125713000000,,64799000000,64444000000.0,2640000000
2023-03-31,USD,184491000000,52483000000,11551000000,11551000000,,11044000000,132008000000,97055000000.0,,949000000.0,949000000.0,20649000000,,6167000000,25888000000,4000000000,,59696000000,25381000000,3672000000,,,1479000000,34315000000,17650000000,9925000000.0,,,27575000000,740000000,8219000000,124795000000,,61241000000,66535000000.0,2596000000
2023-06-30,USD,206688000000,69560000000,28785000000,28785000000,,12511000000,137128000000,100904000000.0,,856000000.0,856000000.0,20659000000,,6208000000,24661000000,3603000000,,72655000000,29921000000,3093000000,,,1396000000,42734000000,17836000000,18382000000.0,,,36218000000,-1114000000,7912000000,134033000000,,67980000000,69159000000.0,2612000000
2023-09-30,USD,216274000000,78378000000,36890000000,36890000000,,12944000000,137896000000,104805000000.0,,813000000.0,813000000.0,20668000000,,6142000000,24233000000,4311000000,,73401000000,30531000000,4372000000,,,1460000000,42870000000,17834000000,18383000000.0,,,36217000000,323000000,1281000000,142873000000,,75205000000,,2641000000
2023-12-31,USD,229623000000,85365000000,41862000000,41862000000,,16169000000,144258000000,,,788000000.0,788000000.0,20654000000,,6141000000,23541000000,3793000000,,76455000000,31960000000,4849000000,,,1623000000,44495000000,18849000000,18385000000.0,,,37234000000,1851000000,1370000000,153168000000,,82070000000,73253000000.0,2630000000
2024-03-31,USD,222844000000,75330000000,32307000000,32307000000,,13430000000,147514000000,,,829000000.0,829000000.0,20654000000,,6218000000,25813000000,3780000000,,73315000000,28101000000,3785000000,,,1676000000,45214000000,19246000000,18387000000.0,,,37633000000,17777000000,1462000000,149529000000,,76793000000,75391000000.0,2625000000
2024-06-30,USD,230238000000,76431000000,32045000000,32045000000,,14505000000,153807000000,,,984000000.0,984000000.0,20654000000,,6207000000,26035000000,3846000000,,73475000000,27004000000,3173000000,,,1917000000,46471000000,19602000000,18389000000.0,,,37991000000,19670000000,2500000000,156763000000,,81188000000,78270000000.0,2610000000
