fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-02-28,USD,118109000000,43744000000,22321000000,22321000000,-10000000.0,4637000000,74365000000,6816000000.0,,2754000000,2754000000,43954000000,,,13543000000,3233000000,,108472000000,20250000000,812000000,,,5758000000,88222000000,,63541000000,5758000000,,69299000000,-6724000000,16789000000,8900000000,,-16206000000,26261000000,2994000000
2021-05-31,USD,131107000000,55567000000,30098000000,30098000000,142000000.0,5409000000,75540000000,7049000000.0,,2430000000,2430000000,43935000000,,,16456000000,3604000000,,125155000000,24164000000,745000000,,,8250000000,100991000000,,75995000000,8250000000,,84245000000,-5951000000,17132000000,5238000000,,-20120000000,26533000000,2949007000
2021-08-31,USD,122924000000,47117000000,23059000000,23059000000,,4482000000,75807000000,7610000000.0,,2181000000,2181000000,43862000000,,,16251000000,3325000000,,124054000000,23071000000,749000000,,,6748000000,100983000000,,75970000000,6748000000,,82718000000,-6752000000,5050000000,-1541000000,,-25679000000,25534000000,2861000000
2021-11-30,USD,106897000000,31078000000,17938000000,17938000000,,4462000000,75819000000,8029000000.0,,1881000000,1881000000,43842000000,,,4900000000,3778000000,,116555000000,18881000000,1034000000,,,4998000000,97674000000,,73433000000,4998000000,,78431000000,-7210000000,17464000000,-10101000000,,-34076000000,25591000000,2694003000
2022-02-28,USD,108644000000,31675000000,22682000000,22682000000,,4588000000,76969000000,8609000000.0,,1688000000,1688000000,43833000000,,,707000000,3698000000,,116855000000,20833000000,1124000000,,,6248000000,96022000000,,72165000000,6248000000,,78413000000,-6578000000,17395000000,-8696000000,,-33147000000,26129000000,2754000000
2022-05-31,USD,109297000000,31633000000,21383000000,21383000000,314000000.0,5953000000,77664000000,9716000000.0,,1440000000,1440000000,43811000000,,,519000000,3778000000,,115065000000,19511000000,1317000000,,,3749000000,95554000000,,72110000000,3749000000,,75859000000,-6122000000,5203000000,-6220000000,,-31336000000,26808000000,2742000000
2022-08-31,USD,130309000000,21004000000,10448000000,10448000000,,5937000000,109305000000,12280000000.0,,12499000000,12499000000,61629000000,,,772000000,3847000000,,135758000000,34819000000,1461000000,,,16097000000,100939000000,,75480000000,16097000000,,91577000000,-5340000000,17766000000,-5875000000,,-31134000000,27224000000,2747000000
2022-11-30,USD,128469000000,17561000000,6813000000,6813000000,,6197000000,110908000000,14351000000.0,,11593000000,11593000000,61513000000,,,537000000,4014000000,,132245000000,27106000000,1647000000,,,9746000000,105139000000,,81173000000,9746000000,,90919000000,-4120000000,5673000000,-4246000000,,-30617000000,28148000000,2746000000
2023-02-28,USD,131620000000,18696000000,8219000000,8219000000,,6213000000,112924000000,16345000000.0,,10707000000,10707000000,61499000000,,,550000000,3714000000,,133532000000,22880000000,1610000000,,,5415000000,110652000000,,86396000000,5415000000,,91811000000,-4078000000,17442000000,-2421000000,,-29721000000,28994000000,2776000000
2023-05-31,USD,134384000000,21004000000,9765000000,9765000000,298000000.0,6915000000,113380000000,17069000000.0,,9837000000,9837000000,62261000000,,,422000000,3902000000,,132828000000,23090000000,1204000000,,,4061000000,109738000000,,86420000000,4061000000,,90481000000,-2222000000,6469000000,1073000000,,-27620000000,30215000000,2796000000
2023-08-31,USD,136662000000,22166000000,11613000000,11613000000,,6519000000,114496000000,17644000000.0,,9074000000,9074000000,62206000000,,,470000000,3564000000,,133821000000,25357000000,1034000000,,,4499000000,108464000000,,84442000000,4499000000,,88941000000,-2497000000,7540000000,2370000000,,-26428000000,30295000000,2823000000
2023-11-30,USD,134324000000,19289000000,8244000000,8244000000,,6804000000,115035000000,18009000000.0,,8378000000,8378000000,62231000000,,,446000000,3795000000,,129946000000,24407000000,1107000000,,,6321000000,105539000000,,82468000000,6321000000,,88789000000,-1945000000,7781000000,3866000000,,-25431000000,30724000000,2817000000
2024-02-29,USD,137082000000,21063000000,9481000000,9481000000,,7297000000,116019000000,,,7629000000,7629000000,62222000000,,,423000000,3862000000,,130900000000,24885000000,1658000000,,,5510000000,106015000000,,82470000000,5510000000,,87980000000,-1665000000,8611000000,5623000000,,-24533000000,31622000000,2819000000
2024-05-31,USD,140976000000,22554000000,10454000000,10454000000,334000000.0,7874000000,118422000000,,,6890000000,6890000000,62230000000,,,207000000,4019000000,,131737000000,31544000000,2357000000,,,10605000000,100193000000,6255000000.0,76264000000,10605000000,,93124000000,-1548000000,9420000000,8704000000,,-22628000000,32764000000,2834000000
2024-08-31,USD,144214000000,23072000000,10616000000,10616000000,,8021000000,121142000000,,,6270000000,6270000000,62249000000,,,295000000,4140000000,,132945000000,32045000000,2207000000,,,9201000000,100900000000,,75314000000,9201000000,,84515000000,-1856000000,11106000000,10816000000,,-20939000000,33083000000,2851000000
2024-11-30,USD,148483000000,23503000000,10941000000,10941000000,,8177000000,124980000000,,,5679000000,5679000000,62204000000,,,370000000,4015000000,,134247000000,29052000000,2679000000,,,8162000000,105195000000,,80462000000,8162000000,,88624000000,-772000000,12316000000,13746000000,,-19045000000,34310000000,2869000000
2025-02-28,USD,161378000000,30116000000,17406000000,17406000000,,8051000000,131262000000,,,5131000000,5131000000,62171000000,,,417000000,4242000000,,144117000000,29623000000,2423000000,,,8167000000,114494000000,,88109000000,8167000000,,96276000000,201000000,14364000000,16730000000,,-17368000000,35691000000,2874000000
2025-05-31,USD,168361000000,24579000000,10786000000,10786000000,,8558000000,143782000000,,,4587000000,4587000000,62207000000,,,417000000,4818000000,,147392000000,32643000000,5113000000,,,7271000000,114749000000,11536000000.0,85297000000,7271000000,,104104000000,603000000,7647000000,20451000000,,-15481000000,37107000000,2871000000
2025-08-31,USD,180449000000,24634000000,10445000000,10445000000,,8843000000,155815000000,,,4167000000,4167000000,62211000000,,,560000000,4786000000,,155783000000,39874000000,8203000000,,,9079000000,115909000000,14094000000.0,82236000000,9079000000,,105409000000,-89000000,8996000000,24154000000,,-14054000000,39378000000,2909000000
2025-11-30,USD,204984000000,34366000000,19241000000,19241000000,,9440000000,170618000000,,,3760000000,3760000000,62207000000,,,525000000,5160000000,,174527000000,37795000000,10140000000,,,8091000000,136732000000,16311000000.0,99984000000,8091000000,,124386000000,-1261000000,9552000000,29951000000,,-9355000000,40577000000,2922000000
