fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2021-02-28,USD,3704000000,,,,,732000000,414000000,-174000000.0,64000000.0,,-3384000000,-6129000000,,,,,699000000,699000000,,,,,-4073000000,,-5809000000.0,,5021000000
2021-05-31,USD,4842000000,,,,,752000000,717000000,-948000000.0,-1472000000.0,,-3911000000,6798000000,,,,,917000000,917000000,,,,,-8045000000,,7729000000.0,,4032000000
2021-08-31,USD,5391000000,,,,,757000000,1062000000,852000000.0,49000000.0,,-781000000,-11468000000,,,,,887000000,887000000,,,,,-8815000000,,-6858000000.0,,2457000000
2021-11-30,USD,-3682000000,,,,,759000000,925000000,-63000000.0,-635000000.0,,10730000000,-12053000000,,,,,861000000,861000000,,,,,-7076000000,,-5005000000.0,,-1248000000
2022-02-28,USD,3845000000,,,,,775000000,1101000000,-137000000.0,,,2432000000,-1579000000,,,,,855000000,855000000,,,,,-774000000,,4698000000.0,,2319000000
2022-05-31,USD,3985000000,,,,,831000000,1423000000,-1526000000.0,586000000.0,,-1161000000,-4026000000,,,,,854000000,854000000,,,,,-676000000,,-1202000000.0,,3189000000
2022-08-31,USD,6394000000,,,,,1466000000,1719000000,761000000.0,,,-29436000000,12310000000,,,,,860000000,860000000,,,,,-1381000000,,-10732000000.0,,1548000000
2022-11-30,USD,849000000,,,,,1498000000,2435000000,-245000000.0,,,-2658000000,-1855000000,,,,,863000000,863000000,,,,,-514000000,,-3664000000.0,,1741000000
2023-02-28,USD,4275000000,,,,,1558000000,2628000000,-56000000.0,,,-2778000000,-105000000,,,,,863000000,863000000,,,,,-295000000,,1392000000.0,,1895000000
2023-05-31,USD,5647000000,,,,,1586000000,1913000000,-611000000.0,,,-1612000000,-2440000000,,,,,1082000000,1082000000,,,,,-313000000,,1595000000.0,,3319000000
2023-08-31,USD,6974000000,,,,,1475000000,1314000000,,338000000.0,,-1562000000,-3528000000,,,,,1091000000,1091000000,,,,,-1210000000,,,,2420000000
2023-11-30,USD,143000000,,,,,1553000000,1080000000,,-1578000000.0,,-1249000000,-2289000000,,,,,1099000000,1099000000,,,,,-1123000000,,,,2503000000
2024-02-29,USD,5475000000,,,,,1557000000,1674000000,,909000000.0,,-1783000000,-2463000000,,,,,1099000000,1099000000,,,,,-582000000,,,,2400000000
2024-05-31,USD,6081000000,,,,,1554000000,2798000000,,331000000.0,,-2766000000,-2274000000,,,,,1102000000,1102000000,,,,,-327000000,,,,3143000000
2024-08-31,USD,7427000000,,,,,1428000000,2303000000,,,,-2765000000,-4585000000,,,,,1103000000,1103000000,,,,,-1001000000,,,,2929000000
2024-11-30,USD,1304000000,,,,,1499000000,3970000000,,,,-3788000000,2938000000,,,,,1118000000,1118000000,,,,,-197000000,,,,3151000000
2025-02-28,USD,5933000000,,,,,1551000000,5862000000,,,,-5976000000,6559000000,,,,,1119000000,1119000000,,,,,-152000000,,,,2936000000
2025-05-31,USD,6157000000,,,,,1696000000,9080000000,,,,-9182000000,-3814000000,,,,,1403000000,1403000000,,,,,-150000000,,,,3427000000
2025-08-31,USD,8140000000,,,,,1771000000,8502000000,,,,-8718000000,210000000,,,,,1413000000,1413000000,,,,,-112000000,,,,2927000000
2025-11-30,USD,2066000000,,,,,2111000000,12033000000,,,,-7714000000,14487000000,,,,,1435000000,1435000000,,,,,-92000000,,,,6135000000
