fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2021-03-31,USD,23981000000,,,,,2797000000,2269000000,25584000000.0,-276000000,,-10368000000,-11326000000,,,,,3447000000,3447000000,,,,,-18548000000,,2287000000.0,,23630000000
2021-06-30,USD,21094000000,,,,,2832000000,2093000000,-869000000.0,13000000,,3572000000,-29396000000,,,,,3767000000,3767000000,,,,,-22900000000,,-4730000000.0,,21744000000
2021-09-30,USD,20200000000,,,,,2989000000,3223000000,-17604000000.0,-1429000000,,835000000,-20382000000,,,,,3640000000,3640000000,,,,,-19748000000,,653000000.0,,20551000000
2021-12-31,USD,46966000000,,,,,2697000000,2803000000,-13746000000.0,681000000,,-16106000000,-28159000000,,,,,3732000000,3732000000,,,,,-20478000000,,2701000000.0,,34630000000
2022-03-31,USD,28166000000,,,,,2737000000,2514000000,19931000000.0,384000000,,-9265000000,-28351000000,,,,,3595000000,3595000000,,,,,-22631000000,,-9450000000.0,,25010000000
2022-06-30,USD,22892000000,,,,,2805000000,2102000000,3165000000.0,-16000000,,4234000000,-27445000000,,,,,3811000000,3811000000,,,,,-21865000000,,-319000000.0,,19442000000
2022-09-30,USD,24127000000,,,,,2865000000,3289000000,-18693000000.0,435000000,,-1217000000,-26794000000,,,,,3703000000,3703000000,,,,,-24428000000,,-3884000000.0,,20721000000
2022-12-31,USD,34005000000,,,,,2916000000,3787000000,6595000000.0,-1807000000,,-1445000000,-35563000000,,,,,3768000000,3768000000,,,,,-19475000000,,-3003000000.0,,29998000000
2023-03-31,USD,28560000000,,,,,2898000000,2916000000,17786000000.0,-741000000,,2319000000,-25724000000,,,,,3650000000,3650000000,,,,,-19594000000,,5155000000.0,,24160000000
2023-06-30,USD,26380000000,,,,,3052000000,2093000000,-3661000000.0,-22000000,,437000000,-24048000000,,,,,3849000000,3849000000,,,,,-17478000000,,2769000000.0,,19881000000
2023-09-30,USD,21598000000,,,,,2653000000,2163000000,-21137000000.0,952000000,,3705000000,-23153000000,,,,,3758000000,3758000000,,,,,-21003000000,,839000000.0,,22956000000
2023-12-31,USD,39895000000,,,,,2848000000,2392000000,,-137000000,,1927000000,-30585000000,,,,,3825000000,3825000000,,,,,-20139000000,,,,33916000000
2024-03-31,USD,22690000000,,,,,2836000000,1996000000,,190000000,,-310000000,-30433000000,,,,,3710000000,3710000000,,,,,-23205000000,,,,23636000000
2024-06-30,USD,28858000000,,,,,2850000000,2151000000,,-12000000,,-127000000,-36017000000,,,,,3895000000,3895000000,,,,,-26522000000,,,,21448000000
2024-09-30,USD,26811000000,,,,,2911000000,2908000000,,-1087000000,,1445000000,-24948000000,,,,,3804000000,3804000000,,,,,-25083000000,,,,14736000000
2024-12-31,USD,29935000000,,,,,3080000000,2940000000,,215000000,,9792000000,-39371000000,,,,,3856000000,3856000000,,,,,-23606000000,,,,36330000000
2025-03-31,USD,23952000000,,,,,2661000000,3071000000,,643000000,,2917000000,-29006000000,,,,,3758000000,3758000000,,,,,-25898000000,,,,24780000000
2025-06-30,USD,27867000000,,,,,2830000000,3462000000,,365000000,,5073000000,-24833000000,,,,,3945000000,3945000000,,,,,-21075000000,,,,23434000000
2025-09-30,USD,29728000000,,,,,3127000000,3242000000,,177000000,,-2587000000,-27476000000,,,,,3862000000,3862000000,,,,,-20132000000,,,,27466000000
