fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-03-31,USD,38079000000,89584000000,51505000000,51505000000,27503000000,5314000000,5262000000,10576000000,,48000000.0,718000000.0,670000000.0,,508000000.0,,2797000000,28011000000,4381000000,,23630000000,,28681000000,31478000000,23630000000
2021-06-30,USD,35255000000,81434000000,46179000000,46179000000,24126000000,5412000000,5717000000,11129000000,,54000000.0,719000000.0,665000000.0,,243000000.0,,2832000000,24369000000,2625000000,,21744000000,,25034000000,27866000000,21744000000
2021-09-30,USD,35174000000,83360000000,48186000000,48186000000,23786000000,5616000000,5772000000,11388000000,,-13000000.0,659000000.0,672000000.0,,538000000.0,,2989000000,23248000000,2697000000,,20551000000,,23920000000,26909000000,20551000000
2021-12-31,USD,54243000000,123945000000,69702000000,69702000000,41488000000,6449000000,6306000000,12755000000,,-44000000.0,650000000.0,694000000.0,,247000000.0,,2697000000,41241000000,6611000000,,34630000000,,41935000000,44632000000,34630000000
2022-03-31,USD,42559000000,97278000000,54719000000,54719000000,29979000000,6193000000,6387000000,12580000000,,9000000.0,700000000.0,691000000.0,,160000000.0,,2737000000,30139000000,5129000000,,25010000000,,30830000000,33567000000,25010000000
2022-06-30,USD,35885000000,82959000000,47074000000,47074000000,23076000000,6012000000,6797000000,12809000000,,3000000.0,722000000.0,719000000.0,,10000000.0,,2805000000,23066000000,3624000000,,19442000000,,23785000000,26590000000,19442000000
2022-09-30,USD,38095000000,90146000000,52051000000,52051000000,24894000000,6440000000,6761000000,13201000000,,-74000000.0,753000000.0,827000000.0,,237000000.0,,2865000000,24657000000,3936000000,,20721000000,,25484000000,28349000000,20721000000
2022-12-31,USD,50332000000,117154000000,66822000000,66822000000,36016000000,6607000000,7709000000,14709000000,,-135000000.0,868000000.0,1003000000.0,,-393000000.0,,2916000000,35623000000,5625000000,,29998000000,,36016000000,38932000000,29998000000
2023-03-31,USD,41976000000,94836000000,52860000000,52860000000,28318000000,6201000000,7457000000,13594000000,,-12000000.0,918000000.0,930000000.0,,64000000.0,,2898000000,28382000000,4222000000,,24160000000,,28318000000,31216000000,24160000000
2023-06-30,USD,36413000000,81797000000,45384000000,45384000000,22998000000,5973000000,7442000000,13415000000,,-18000000.0,980000000.0,998000000.0,,-265000000.0,,3052000000,22733000000,2852000000,,19881000000,,22998000000,26050000000,19881000000
2023-09-30,USD,40427000000,89498000000,49071000000,49071000000,26969000000,6151000000,7307000000,13411000000,,-18000000.0,984000000.0,1002000000.0,,565000000.0,,2653000000,26998000000,4042000000,,22956000000,,26969000000,29622000000,22956000000
2023-12-31,USD,54855000000,119575000000,64720000000,64720000000,40373000000,6786000000,7696000000,14532000000,,,,1002000000.0,,,,2848000000,40323000000,6407000000,,33916000000,,40373000000,43221000000,33916000000
2024-03-31,USD,42271000000,90753000000,48482000000,48482000000,27900000000,6468000000,7903000000,14213000000,,,,,,,,2836000000,28058000000,4422000000,,23636000000,,27900000000,30736000000,23636000000
2024-06-30,USD,39678000000,85777000000,46099000000,46099000000,25352000000,6320000000,8006000000,14326000000,,,,,,,,2850000000,25494000000,4046000000,,21448000000,,25352000000,28202000000,21448000000
2024-09-30,USD,43879000000,94930000000,51051000000,51051000000,29591000000,6523000000,7765000000,14288000000,,,,,,,,2911000000,29610000000,14874000000,,14736000000,,29591000000,32502000000,14736000000
2024-12-31,USD,58275000000,124300000000,66025000000,66025000000,42832000000,7175000000,8268000000,15443000000,,,,,,,,3080000000,42584000000,6254000000,,36330000000,,42832000000,45912000000,36330000000
2025-03-31,USD,44867000000,95359000000,50492000000,50492000000,29589000000,6728000000,8550000000,15278000000,,,,,,,,2661000000,29310000000,4530000000,,24780000000,,29589000000,32250000000,24780000000
2025-06-30,USD,43718000000,94036000000,50318000000,50318000000,28202000000,6650000000,8866000000,15516000000,,,,1000000.0,,,,2830000000,28031000000,4597000000,,23434000000,,28202000000,31032000000,23434000000
2025-09-30,USD,48341000000,102466000000,54125000000,54125000000,32427000000,7048000000,8866000000,15914000000,,,,,,,,3127000000,32804000000,5338000000,,27466000000,,32427000000,35554000000,27466000000
